publisher,number of published games
"2K Games, Valve",1
AgetecNordcurrent,1
Zuxxez/TopWare Interactive,1
Hyperware,1
Pentavision,1
"1C Company, Atari",1
Crimson Cow,1
Encore Software,1
"Gremlin Interactive, Interplay Entertainment",1
"SCi, Xicat Interactive, Inc.",1
"Sony Computer Entertainment, Eidos Interactive",1
Rockstar Studios,1
Buena Vista Interactive,1
Black Dragon Productions,1
2nd Studio,1
Totem Games,1
"Inti Creates, PQube",1
Sumo Digital,1
Pin-Ball Games Ltd.,1
Frogwares,1
"Buka Entertainment, Interactive Magic",1
Ska Studios,1
"Acclaim Entertainment, Throwback Entertainment",1
Infogrames Europe,1
Lobstersoft,1
The Fighter Collection,1
"Deep Silver, Enlight",1
"SCi, Global Star Software",1
Groover,1
"Pocketwatch Games, MumboJumbo",1
"Sega Corporation, Sega PC",1
Mobigame,1
D3 Publisher of America,1
Abstraction Games,1
Ruud van Gaal,1
Atomic Games,1
Adult Swim Games,1
RedBedlam,1
Chessbase,1
FX Interactive,1
"Zoo Digital Publishing, Strategy First",1
Socko! Entertainment,1
"SCi, Gotham Games",1
Egmont Interactive,1
Studio Pixel,1
tAAt,1
Sanctuary Woods,1
Big Blue Bubble,1
"Zoo Digital, zushi games ltd.",1
"CyberFront Corporation, TTIME Technology",1
PC Gamer,1
"Riot Games, GOA, Tencent Inc.",1
BROCCOLI,1
Encore Games,1
"Big Fish Games, Her Interactive",1
Lyra Studios,1
"SCi, Encore Software Inc.",1
Blast! Entertainment Ltd,1
Infinite Monkeys Entertainment,1
"Epic Interactive Strategy, Martech Software",1
"Roxor Games, RedOctane",1
"Level Up! Games, GOGAME, Aeria Games, Burda:ic, gloot.net, GameMaxx",1
"Nobilis, Strategy First",1
"Time Warner Electronic Publishing, Attica",1
Lost Sock Games,1
XS Games,1
"Kemco, THQ",1
Atari Europe,1
Zoo Games,1
Mode 7 Games,1
Interactive Kingdom,1
Socialpoint,1
"Shrapnel Games, Strategy First",1
Noisestorm,1
Valve Corporation,1
"Blizzard Entertainment, Sierra Entertainment, Capcom, Sonokong",1
Shoeisha,1
"DSI Games, Zoo Digital Publishing",1
"Sony Online Entertainment, Akella, Gamearena",1
Trimark Interactive,1
NDOORS Interactive,1
"Deep Silver, Strategy First",1
"Psygnosis, JoWooD Productions Software",1
Kokopeli,1
Home Entertainment Suppliers,1
"Titus Interactive, ANOZOR",1
"CDV Software, FX Interactive",1
Ankama Games,1
"Alt1, Aeria Games and Entertainment",1
Walt Disney Internet Group,1
"Gravity Interactive, Inc. et al.",1
YNK Interactive,1
"DreamCatcher Interactive, JoWood",1
Laminar Research,1
3000AD,1
Terrible Posture Games,1
Apogee Software,1
"Sega, Empire Interactive Europe Ltd.",1
GameMill Publishing,1
"Sci Entertainment, Eidos",1
HMH Interactive,1
"Sourcenext, Bitway, Zoo Digital Publishing",1
"RTL Enterprises, Playlogic Entertainment",1
"Codemasters Online Gaming, Webzen",1
"BlackStar Interactive, Snowball.ru, TopWare Interactive",1
AliceSoft,1
"Electronic Arts, MGM Interactive",1
XXv Productions,1
"The Adventure Company, Lighthouse Interactive",1
Gala-Net Inc,1
God Games,1
"Three Rings Design, Ubisoft",1
ReadySoft Incorporated,1
Soedesco,1
"Nunchuck Games, Electronic Arts, Valve",1
Infogrames North America,1
"Beijing Perfect World, Perfect World Entertainment, Games-Masters Ltd.",1
"GMX media, TRI SYNERGY",1
"777 Studios, Aerosoft, ND Games, Direct2Drive",1
Nitro+chiral,1
"BMG Interactive, ASC Games",1
"Sourcenext, Capcom",1
Emote Games,1
2D Boy,1
game & game,1
