publisher,number of published games
Tilted Mill Entertainment,2
"LucasArts, Activision",2
Moonpod,2
Ripcord Games,2
Innocent Grey,2
Rainbow Games,2
The Walt Disney Company,2
Novalogic,2
"Capcom, Eidos Interactive",1
Arthur Danskin,1
BBC,1
"Got Game, Merscom",1
Colossal Pictures,1
Sony Music Entertainment Japan,1
Pieces Interactive,1
"Strategy First, Typhoon Games",1
"PlayFirst, Inc.",1
Falcom,1
"Destineer, Metro 3D",1
Lego Interactive,1
Wildlife,1
Herculean Effort Productions,1
"Square Co., Square Enix",1
Texel Raptor,1
InstantAction,1
Crystal Interactive,1
America Online,1
Blindflug Studios,1
Makura,1
Digital Leisure,1
Team FK,1
Rage Games Limited,1
EA GamesWarner Bros. Interactive,1
Microids/Encore Games,1
S2 Games,1
GT Interactive Software Corp.,1
"Conspiracy Entertainment, Data Design Interactive",1
"SCi, Gizmondo Games",1
"Take 2 Interactive, Gathering of Developers",1
"GOA, softnyx, HANGAME, ijji",1
Fanista,1
All Yes Good,1
Softkey,1
"Corel Corporation, Hoffmann + Associates",1
"Big Fish Games, Activision, Astragon",1
"EON Digital Entertainment, SCi",1
Hannu and Jukka Räbinä,1
"Excellents Japan, Jast",1
Mojang,1
"THQ, Disney Interactive, Yukes",1
"Mythic Entertainment, Wanadoo",1
"ValuSoft, Kemco, GFI Russia, Russobit-M",1
Last Day of Work,1
Aquiris Studio,1
Twilight Frontier,1
Citeremis,1
Delphine Software International/Electronic Arts,1
"Sonnori, Ubisoft",1
Zordix,1
Merit Studios,1
Impressions Games,1
Against Gravity,1
"Alchemist, PQube",1
Curve Studios,1
VR Sports,1
MGM Interactive,1
Toby Fox,1
Take 2 Interactive and God Games,1
GTE Interactive Media,1
Brainchild Design,1
Crystal Shard,1
U1 Technology,1
"1C Company, Playlogic Entertainment",1
Take 2 Interactive,1
Eduweb,1
AtariJoWood Productions,1
Lowe Bros. Studios,1
B-Alive,1
"LK Avalon, The Adventure Company",1
"Rocket Science Games, SegaSoft",1
Boneloaf,1
Pixile Studios,1
Crema Games,1
"Cryo Interactive, DreamCatcher Interactive",1
"Microids, Encore Games",1
"CD Brothers, Otaku Publishing Ltd.",1
"XS Games, LLC",1
Humble Bundle,1
Quadro Delta,1
dtp entertainment,1
Software 2000,1
"TQworld, LLC.",1
Focus,1
Soldak Entertainment,1
PlayismCoconut Island Games,1
PolyKid,1
GamebankCyberfrontMediaKiteInterplay EntertainmentConspiracy Entertainment,1
"ValuSoft, Global Software Publishing",1
Westwood Studios,1
Vertigo Games,1
Runic Games,1
"Atlus, Bbmf Corporation",1
"JoWooD Productions, Macmillan Software",1
Casterman,1
True GamesGoa,1
Synergy Interactive Crop.,1
Culture Brain,1
Apus Software,1
"Yuto Group, G-Collections",1
"Take-Two Interactive, Kalypso Media",1
"Scavenger, Koei, Tec Toy",1
Softstar Entertainment Inc.,1
"Codemasters, Atari",1
Sugeno,1
SCi Games,1
Dragons Eye Productions,1
Faucet Software,1
"Sega, Acclaim, Activision",1
Digital Reality,1
CogniToy,1
DreamCatcher InteractiveThe Adventure Company,1
Viable Software Alternatives,1
Midas Interactive,1
France Telecom Multimedia,1
"ParanGAME, Gamania, Asia Eastern",1
BUKA,1
"1C Company, Deep Silver",1
Mid Carolina Media,1
"Ubisoft, Feral Interactive",1
"2K Games, Aspyr",1
"iGames, TriSynergy",1
DynamixSierra Entertainment,1
"MPCA Interactive, Orion Interactive",1
Glamus,1
Thomas Happ Games,1
Simsquared Ltd.,1
Krafted Games,1
Subtle Style,1
Hasbro,1
Enterbrain,1
"Rondomedia, Akella, Excalibur Publishing, TopWare, Seven M, Anuman, Wendros",1
Seven Lights,1
Wube Software,1
The Game Factory,1
Atari Europe S.A.S.U.,1
Kalypso Media UK Ltd,1
Philips Media,1
"Immersion Games, Timeline Interactive, Artificial Studios",1
"Digital Integration Ltd., Interactive Magic",1
Creative Edge Studios,1
Taito Corporation,1
ZUXXEZ Entertainment,1
Otaku Publishing Ltd.,1
Runestone Game Development,1
Wyrmkeep Entertainment Co.,1
Devolver Digital,1
ImpactGames,1
Square,1
PLAY sp zoo,1
VoxelStorm,1
"Piranha Interactive Publishing, Tiburon Interactive Publishing",1
PillowPigGames,1
"Software 2000, WizardWorks",1
Ritual Entertainment,1
Nokia,1
Infogrames/Atari,1
"The Adventure Company, JoWood Productions",1
AGEOD,1
Selectsoft Publishing,1
"DreamCatcher Interactive, Microids",1
Lomax Software,1
Akatsuki Works,1
Sirius Publishing,1
The NetHack DevTeam,1
"CyberFront Corporation, MediaKite, Sourcenext",1
Fireglow Games,1
PQube,1
The Pokémon Company,1
